y	x
3.8	-0.11
1.94	-0.38
6	-0.09
4.23	0.04
4.34	0
5.36	1.25
2.21	0.59
-1.94	0.3
-3.2	0.91
-0.21	0.05
1.51	-0.81
8.21	1.38
7.34	-0.44
0.46	-1.28
7.59	-0.61
8.3	0.92
0.03	0.57
12.52	-0.06
5.49	0.16
5.48	-0.39
5.34	-0.59
-1.46	0.66
7.03	-0.76
7.65	0.47
1.74	-0.69
5.96	0.57
3.21	0.64
3.85	0.28
5.85	0.18
6.71	0.81
11.97	1.14
5.36	-0.27
10.01	-2.28
6.93	-0.16
4.46	-1.07
-2.37	-0.97
6.57	-0.81
6.7	-0.23
5.75	-0.16
12.8	1.43
9.97	-0.22
0.64	0.56
5.21	-0.71
1.96	0.26
-3.74	-0.2
13.6	1.86
-5.46	0.52
-4.68	-1.56
0.87	-1.23
-1.69	-1.01
10.2	-0.98
2.38	-0.13
-2.27	-2.27
1.77	0.53
9.3	-0.53
19.81	2.32
8.42	0.06
0.29	-0.36
8.66	-0.57
10.44	-0.01
8.8	1.36
6.34	1.29
2.49	-0.9
10.06	-0.37
4.02	1
5.1	1.12
2.27	-0.06
6.26	0.75
10.67	0.35
4.91	-1.56
7.9	-1.68
5.28	-0.09
4.28	0.79
4.34	0.28
4.47	-0.17
1.48	-1.53
0.6	0.41
10.03	0.6
14.55	-1.15
1.45	-0.22
-0.41	-0.06
11.98	0.45
4.58	-1.98
14.66	-0.73
4.07	1.12
10.94	-0.05
5.39	1.37
5.39	0.24
0.77	0.63
4.66	-0.06
1.29	-0.25
5.77	-0.98
1.36	0.4
2.68	-1.09
11.32	-1.2
1.38	0.31
-1.75	0.2
8.13	-1.94
14.57	1.69
6.91	-0.41
5.56	0.07
-0.14	-0.33
-2.1	-2.27
6.24	-1.11
-1.49	0.21
7.01	-0.02
-3.25	0.21
-0.99	0.5
1.94	0.23
11.77	0.42
7.72	0.33
3.47	0.04
4.23	1.46
6.12	-0.71
-1.32	0.48
2.11	0.45
7.59	-0.42
2.97	0.15
2.08	-0.22
4.4	0.46
9.97	1.34
5.19	0.38
-1.59	-0.48
9.86	-0.63
12.93	-0.55
2.04	-0.87
4.46	-1.27
11.39	-1.49
8.07	0.68
-6.34	0.16
31.42	2.79
11.27	-1.12
-4.06	0.13
2.29	-0.61
12.78	-0.65
1.36	0.46
9.07	-0.9
6.68	0.16
5.41	1.38
-7.73	0.6
6.53	-1.21
8.11	-1.35
11.17	-0.66
-2.34	-0.09
2.33	1.19
4.41	0.31
5.27	-0.68
-0.64	0.24
5.37	-0.85
6.61	-1.45
4.08	-0.22
9.49	0.89
-1.73	0.02
2.93	-1.07
11.37	1.25
2.09	-0.15
13.7	1.44
5.56	1.34
7.41	-2.14
1.05	-0.25
-0.66	-1.46
20	-1.77
4.27	0.64
-0.92	-0.97
16.95	-0.94
0.14	0.1
0.46	-0.2
5.58	1.1
4.3	-1.87
9.32	0.21
4.8	-0.92
1.36	-0.63
18.46	1.99
6.92	1.29
4.26	0.34
-2.96	-0.33
18.3	-1.51
9.96	-1.33
3.26	0.57
6.45	-0.72
-0.37	-0.6
-1.38	0.34
0.97	-0.3
6.77	-0.62
4.93	-0.53
5.11	1.19
4.84	-0.15
-1.72	0.82
3.41	0.87
-2.15	0.23
4.63	0.35
7.52	-1.49
-5.08	-0.47
-6.13	0.04
0.87	0.99
7.46	-0.08
7.1	0.71
2.26	-0.66
-4.77	-0.44
6.89	1.01
5.25	-0.07
1.38	0.51
13.02	1.54
11.52	1.88
7.23	-1.24
-10.04	0.51
-2.26	0.71
-0.44	-0.22
-3.52	0.24
1.56	0.15
7.12	0.62
-2.99	-0.72
2.22	-1.96
7.25	-0.01
-3.16	-0.11
2.84	0.13
9.2	-1.39
16.56	1.5
4.01	-0.71
0.31	0.48
9.88	1.85
3.77	1.17
-2.56	0.82
5.48	0.28
12.6	-1.34
6.27	-0.62
4.34	-0.97
3.18	0.22
8.61	-1.27
4.29	1.01
2.96	-2.25
9.57	-0.72
11.65	0.96
9.24	-0.03
-0.34	0.32
-0.06	0.05
9.08	-1
11.81	-0.65
13.27	1.41
-8.62	0.3
0.01	-0.24
3.25	-0.26
7.89	1
3.1	0.68
6	-0.06
-0.94	-2.15
0.12	1.18
-4.23	0.57
6.91	-1.03
5.71	0.14
-8.63	-1.45
11.11	-1.67
6.46	0.9
5	-2.02
3.11	-2.43
13.92	1.44
-1.4	1.2
3.79	-0.14
6.28	-1.61
6.1	-0.06
9.57	-0.09
-3.96	-0.24
0.52	0.53
-2.35	-0.21
7.49	0.92
14.98	1.62
4.78	0.1
14.2	1.46
-0.75	-2.92
8.14	0.59
-7.2	0.68
17.33	1.34
-0.69	-0.81
2.07	0.4
1.22	-0.63
4.67	1.79
19.28	2.08
-3.32	0.06
14.09	-0.54
3.84	0.26
5.9	1.38
0.23	0.55
1.48	0.38
6.08	1.36
14.5	-1.61
8.2	1.01
-0.78	-0.02
0.68	-0.74
-4.34	-0.23
5.06	0.36
1.38	-0.87
1.46	-0.78
2.58	-0.81
8.18	-0.93
6.18	-1.58
-3.74	-0.25
10.69	-0.82
-5.61	-1.7
8.76	-0.6
2.9	0.41
7.83	-0.91
13.92	2.12
-4.07	-0.41
16.73	-0.71
1.03	-0.54
